file,occupancy_total,occupancy_fraction,occupancy_x_mean,occupancy_y_mean,occupancy_z_mean,occupancy_gradient_x,occupancy_gradient_y,occupancy_gradient_z,occupancy_gradient_total,occupancy_surface,grid_entropy,grid_moi_1,grid_moi_2,grid_moi_3,moi_principal_3,rdf_mean,rdf_kurtosis,entropy_spatial,ms_bandwidth,n_vacancies
130.004000,83.0,0.083,0.83,0.83,0.83,114.0,112.0,118.0,344.0,344.0,4.418840599496599,422.35462283814235,420.05438871264295,414.362072786564,1210.1952596151464,4.680478033301423,-0.4929660992920213,4.4188406077966,4.225109822481675,3.0
131.005000,85.0,0.085,0.85,0.85,0.85,114.0,106.0,112.0,332.0,332.0,4.442651247990316,448.2650500933746,415.5405174214739,387.3473736616219,1242.7819139622818,4.750210411931343,-0.5087092086726583,4.4543472962535064,4.359603827992339,3.0
132.000000,86.0,0.086,0.86,0.86,0.86,106.0,108.0,104.0,318.0,318.0,4.454347287653507,460.2707801099476,420.86130944767433,407.7981430005171,1260.631050074126,4.758935897397336,-0.5165507744227469,4.4543472962535064,4.400715667464976,3.0
133.001000,87.0,0.087,0.87,0.87,0.87,112.0,122.0,118.0,352.0,352.0,4.465908109954582,452.77601141615935,405.5844783286109,387.8004297954599,1283.5464380678586,4.784071198741422,-0.3552760305289193,4.465908118654583,4.379389619860543,3.0
134.002000,84.0,0.084,0.84,0.84,0.84,110.0,110.0,106.0,326.0,326.0,4.430816790443312,428.24698779267345,407.5750226662013,376.53513239826793,1222.650855861459,4.705307070305007,-0.33490628785014875,4.4308167988433125,4.230537549376988,3.0
135.003000,86.0,0.086,0.86,0.86,0.86,108.0,112.0,104.0,324.0,324.0,4.454347287653507,444.70289559056187,392.54622513627936,391.6113443894375,1276.4842964690915,4.7542596561109995,-0.4184436429167371,4.4543472962535064,4.392170638229548,3.0
136.004000,87.0,0.087,0.87,0.87,0.87,124.0,122.0,110.0,356.0,356.0,4.465908109954582,460.2013813600182,414.3673749156865,379.8220483219966,1272.2607028403936,4.7886320856225195,-0.5539629891609712,4.477336814478207,4.354840458842485,3.0
137.005000,85.0,0.085,0.85,0.85,0.85,108.0,112.0,116.0,336.0,336.0,4.442651247990316,461.09553479879213,420.1210349013284,415.20695971164383,1236.7053291626466,4.7379226807833765,-0.47069754883129455,4.442651256490314,4.368324592981638,3.0
138.000000,66.0,0.066,0.66,0.66,0.66,62.0,70.0,76.0,208.0,208.0,4.1896547354264255,304.92586667742717,240.5113100556118,184.32039902453673,808.6482809761646,4.42091438081733,-0.5368796262542723,4.2484952420493585,4.121679172275211,2.0
139.001000,68.0,0.068,0.68,0.68,0.68,88.0,92.0,100.0,280.0,280.0,4.219507698376108,322.6067410555781,282.9034840413893,231.72506902067957,790.7161696045857,4.4162577232501965,-0.4863503017197939,4.234106504597262,4.018524318452143,2.0
14.002000,89.0,0.089,0.89,0.89,0.89,112.0,112.0,118.0,342.0,342.0,4.48863636083214,492.4528750706624,431.3306912605308,401.5198044553238,1328.624691701541,4.816395119105288,-0.45284699353410085,4.488636369732139,4.357562293155776,3.0
140.002000,69.0,0.069,0.69,0.69,0.69,70.0,84.0,90.0,244.0,244.0,4.234106497697257,330.05436488640333,278.47644135341113,222.1358604268524,819.9933696903748,4.44235915911651,-0.5287830045163759,4.262679877041316,4.095054199203496,2.0
141.003000,70.0,0.07,0.7,0.7,0.7,74.0,82.0,98.0,254.0,254.0,4.248495235049358,328.1157659935456,289.80151715712117,238.79700256361906,814.2403359412212,4.430336598172268,-0.4659639599877048,4.262679877041316,4.0939102365672335,2.0
142.005000,67.0,0.067,0.67,0.67,0.67,88.0,92.0,98.0,278.0,278.0,4.204692612690966,305.62634184657134,275.4273100097902,222.8866466511011,786.5715088327182,4.409391353035141,-0.5464816238214376,4.234106504597262,3.998673927705712,2.0
143.000000,68.0,0.068,0.68,0.68,0.68,60.0,70.0,72.0,202.0,202.0,4.219507698376108,310.0,249.73608013613728,189.205096334451,848.3016320000003,4.458596445154334,-0.5504101439613569,4.276666119016054,4.1273491643163185,2.0
144.001000,70.0,0.07,0.7,0.7,0.7,68.0,86.0,92.0,246.0,246.0,4.248495235049358,320.66088698994827,278.0758911067092,230.20607904619962,830.2887990267084,4.447343815966985,-0.43226885895663036,4.262679877041316,4.111105095619416,2.0
145.002000,70.0,0.07,0.7,0.7,0.7,80.0,90.0,106.0,276.0,276.0,4.248495235049358,316.47810109670894,305.2126741886758,242.5949390003296,827.4760738342177,4.43769507937415,-0.4440463438956832,4.262679877041316,4.106507724727913,2.0
146.003000,68.0,0.068,0.68,0.68,0.68,62.0,76.0,86.0,224.0,224.0,4.219507698376108,328.3047862731224,263.56250199940473,201.8974176098256,851.9255307535609,4.497790711898239,-0.41910428139368516,4.29045944114839,4.1029499717325555,2.0
147.004000,71.0,0.071,0.71,0.71,0.71,78.0,102.0,100.0,280.0,280.0,4.262679869941316,326.08455958700694,310.9696466355004,245.36832898876034,835.1015208529941,4.4630605824412815,-0.44610254741861466,4.276666119016054,4.09269128121184,2.0
148.005000,71.0,0.071,0.71,0.71,0.71,80.0,90.0,102.0,272.0,272.0,4.262679869941316,318.0817988044473,303.0882790684309,245.1397812820512,821.3279809356036,4.4299126584001325,-0.41887883453574615,4.262679877041316,4.102207492736261,2.0
149.000000,68.0,0.068,0.68,0.68,0.68,56.0,68.0,72.0,196.0,196.0,4.219507698376108,301.9416915338818,241.48927523087002,189.39256264701288,848.3016320000005,4.458596445154335,-0.550410143961356,4.276666119016054,4.127349164316319,2.0
15.003000,85.0,0.085,0.85,0.85,0.85,118.0,114.0,108.0,340.0,340.0,4.442651247990316,470.4298329975453,419.970548406287,379.6231480079324,1245.0582833378623,4.778071928568452,-0.3823657843712147,4.465908118654583,4.36208420583243,3.0
150.001000,66.0,0.066,0.66,0.66,0.66,56.0,70.0,62.0,188.0,188.0,4.1896547354264255,275.1869550045289,228.4966414313943,175.13458538225856,851.7485449518247,4.465571602358659,-0.5413239871401432,4.276666119016054,4.103057717656522,2.0
151.002000,66.0,0.066,0.66,0.66,0.66,66.0,68.0,80.0,214.0,214.0,4.1896547354264255,306.8502188225591,245.03100858065844,190.72483320284306,808.3062460465561,4.425914469898077,-0.4060152754048332,4.2484952420493585,4.105379869310329,2.0
